ObjectID,ProjectID,AssetID,AreaID,Region,DataFormat,Orgnztion,URL,Notes,Contact,Email,FundType,FunderName,FundEnd,FundSec,ProjFocus,PhysFocus,BioFocus,InstiType,AssetType,StudyType,TidalExp,EcoType,Latitude,Longitude,Depth_m_,ProfileMin,ProfileMax,MeasType,MeasFreq,MeasPeriod,ProgDur,YearSamp,StartYr,EndYr,Ongoing,DataFreq,DiscSWpCO2,ATMpCO2,DiscSWpH,DiscTA,DiscDIC,SatState,DiscDO,isSWpCO2,isSWpH,isDIC,isDO,CalcPmtrs,Methods,Instrument,Temp,Salinity,Pressure,Turbidity,DOC,OtherPhys,Nutrients,Chlrophyl,Nitrate,Ammonium,Phosphate,Silicate,Iron,BioSamples,BioAbund,BioAdapt,BioBiomass,BioCalc,BioComm,BioDistr,BioDiv,BioEvol,BioFoodweb,BioGrRate,BioPhtosyn,BioRecr,BioSurv,BioMovmnt,BioBehvor,OtherBio,OAHFocus,DisCrbPmtr,ISCrbPmtr
WA72,Subtidal macroinvertebrates - geoduck horse clam,Jamestown - Strait,,Washington,point,Washington Department of Fish and Wildlife,,,Hank Carson,henry.carson@dfw.wa.gov,,,,,Biological,,Shellfish Population Assessment,Agency,Sample Site,Field Survey,No,Nearshore,,,,,,spot,,,,planned,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Shellfish,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,Non-OAH,0,0
WA73,Subtidal macroinvertebrates - geoduck horse clam,Langley - Central Sound,,Washington,point,Washington Department of Fish and Wildlife,,,Hank Carson,henry.carson@dfw.wa.gov,,,,,Biological,,Shellfish Population Assessment,Agency,Sample Site,Field Survey,No,Nearshore,,,,,,spot,,,,planned,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Shellfish,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,Non-OAH,0,0
WA74,Subtidal macroinvertebrates - geoduck horse clam,Point Partridge - Central Sound,,Washington,point,Washington Department of Fish and Wildlife,,,Hank Carson,henry.carson@dfw.wa.gov,,,,,Biological,,Shellfish Population Assessment,Agency,Sample Site,Field Survey,No,Nearshore,,,,,,spot,,,,planned,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Shellfish,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,Non-OAH,0,0
WA75,Subtidal macroinvertebrates - geoduck horse clam,Richmond Beach - Central Sound,,Washington,point,Washington Department of Fish and Wildlife,,,Hank Carson,henry.carson@dfw.wa.gov,,,,,Biological,,Shellfish Population Assessment,Agency,Sample Site,Field Survey,No,Nearshore,,,,,,spot,,,,planned,,,,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Shellfish,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,Non-OAH,0,0
WA1672,Padilla Bay - National Estuarine Research Reserve - Annual Eelgrass Monitoring,Padilla Bay National Estuarine Research Reserve - Annual Eelgrass Surveys,Padilla Bay National Estuarine Research Reserve,Washington,polygon,Padilla Bay National Estuarine Research Reserve,,,Jude Apple; Nicole Burnett,japp461@ecy.wa.gov,Dedicated Program Funds,National Estuarine Research Reserve - System Wide Monitoring Program,,Funding is continued for the forseeable future,,,Habitat Characterization,Agency,Sample Area,Field Survey,Yes,Estuarine,,,0,,,spot,,,,,,,Yes,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Macrophytes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Non-OAH,0,0
WA1472,Beach Spawning Forage Fish Habitat Mapping,Western Washington,,Washington,point,Washington Department of Fish and Wildlife;  Northwest Straits Commission;  Washington Department of Natural Resources,https://wdfw.wa.gov/conservation/research/projects/marine_beach_spawning/ (surveys were mapped at:  http://wdfw.maps.arcgis.com/home/webmap/viewer.html?webmap=19b8f74e2d41470cbd80b1af8dedd6b3&extent=-126.136845.6684-119.649449.0781),More than 1000+ data points -- see URL for ArcGIS Online map.  Inconsistent spatial and temporal survey coverage.,Phillip Dionne,phillip.dionne@dfw.wa.gov,,,,,Biological,,Distribution and timing of surf smelt and sand lance spawning,Agency,Sample site,Field Survey,,Intertidal,See map in URL,,,,,NA,Once,Year-round,45,1972-Present,1972,Present,No,Annually,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Fish (eggs),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Non-OAH,0,0
WA1474,Herring Acoustic Trawl Survey,Western Washington,,Washington,polygon,Washington Department of Fish and Wildlife,https://wdfw.wa.gov/conservation/research/projects/marine_beach_spawning/ (surveys were mapped at:  http://wdfw.maps.arcgis.com/home/webmap/viewer.html?webmap=19b8f74e2d41470cbd80b1af8dedd6b3&extent=-126.136845.6684-119.649449.0781),More than 1000+ data points -- see URL for ArcGIS Online map.  ,Todd Sandell; Adam Lindquist,Todd.Sandell@dfw.wa.gov,,,,,Biological,,Herring Population Assessment,Agency,Survey Area,Field Survey,,Nearshore,See map in URL,,,,,NA,Annual,January - June,37,1972-2009;2011,1972,2009,No,Annually,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Fish,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,,Non-OAH,0,0
WA1473,Herring SSB Survey,Western Washington,,Washington,polygon,Washington Department of Fish and Wildlife,https://wdfw.wa.gov/conservation/research/projects/marine_beach_spawning/ (surveys were mapped at:  http://wdfw.maps.arcgis.com/home/webmap/viewer.html?webmap=19b8f74e2d41470cbd80b1af8dedd6b3&extent=-126.136845.6684-119.649449.0781),More than 1000+ data points -- see URL for ArcGIS Online map.  Herring spawn timing distribution and abundance.,Todd Sandell; Adam Lindquist,Todd.Sandell@dfw.wa.gov,,,,,Biological,,Distribution timing and abundance of herring spawn.,Agency,Survey Area,Field Survey,,Nearshore,See map in URL,,,,,NA,Annual,January - June,45,1972-Present,1972,Present,Yes,Annually,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,None,No,No,No,No,No,No,No,Fish (eggs); Macrophytes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,,Non-OAH,0,0
WA933,Marine Sediment Monitoring - Regional Survey 2006,PS1345-00077,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-sediment,Metadata are only for near-bottom discrete DO samples.,Valerie Partridge,valerie.partridge@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical & Biological,Estuarine Environmental Monitoring,Water Quality/Benthic Community Structure and Abundance,Agency,Cruise Station,Cruise,No,Estuarine,,,16.1,,,spot,Once,June,1,2006,2006,2006,No,,No,No,No,No,No,No,Yes,No,No,No,No,,Niskin,,No,No,No,No,No,Mercury; Metals; PAH; PCB; Sediment Toxicity; Sediment Quality Triad Index,No,No,No,No,No,No,No,Benthic Invertebrates,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,H,0,0
WA940,Marine Sediment Monitoring - Regional Survey 2006,PS1345-00141,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-sediment,Metadata are only for near-bottom discrete DO samples.,Valerie Partridge,valerie.partridge@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical & Biological,Estuarine Environmental Monitoring,Water Quality/Benthic Community Structure and Abundance,Agency,Cruise Station,Cruise,No,Estuarine,,,66,,,spot,Once,June,1,2006,2006,2006,No,,No,No,No,No,No,No,Yes,No,No,No,No,,Niskin,,No,No,No,No,No,Mercury; Metals; PAH; PCB; Sediment Toxicity; Sediment Quality Triad Index,No,No,No,No,No,No,No,Benthic Invertebrates,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,H,0,0
WA959,Marine Sediment Monitoring - Regional Survey 2006,PS1345-00517,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-sediment,Metadata are only for near-bottom discrete DO samples.,Valerie Partridge,valerie.partridge@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical & Biological,Estuarine Environmental Monitoring,Water Quality/Benthic Community Structure and Abundance,Agency,Cruise Station,Cruise,No,Estuarine,,,6.8,,,spot,Once,June,1,2006,2006,2006,No,,No,No,No,No,No,No,Yes,No,No,No,No,,Niskin,,No,No,No,No,No,Mercury; Metals; PAH; PCB; Sediment Toxicity; Sediment Quality Triad Index,No,No,No,No,No,No,No,Benthic Invertebrates,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,H,0,0
OR107,NWFSC West Coast Groundfish Bottom Trawl Survey,,NWFSC West Coast Groundfish Bottom Trawl Survey,West Coast,polygon,National Oceanic and Atmospheric Administration - Northwest Fisheries Science Center,,,Keith Bosley,keith.bosley@noaa.gov,,,,,Physical/Biogeochemical & Biological,Oceanographic Characterization,Fisheries Stock Assessment,Agency,Survey Area,Field Survey,No,Nearshore; Open Ocean,,,,60,1500,spot,Annual,May-October,15,2003-Present,2003,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,"Temp - Seabird 19+ V2; Depth - Seabird 19+s V2; Cond (Salinity) - Seabird 19+ V2; DO (Membrane) - SBE43; DO (Optical) - Aanderaa Optode 4330F; Turbidity - WetLabs FLNTUS; Fluorescence - WetLabs FLNTUS
",Yes,Yes,Yes,Yes,No,,No,No,No,No,No,No,No,Phytoplankton; Zooplankton; Fish,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Phytoplankton Abundance assessed using florescence,H,0,0
OR600,2008 Coastal uwpco2 Cruises,,,West Coast,polyline,National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,http://www.pmel.noaa.gov/co2/story/2008+Coastal+uwpCO2,,Dr. Richard Feely,richard.a.feely@noaa.gov,External funds,NOAA,2008,Not pursuing continued funding,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Cruise,in situ,No,Nearshore; Open Ocean; Deep Sea,,,2,,,continuous,Once,,1,2008,2008,2008,No,,No,No,No,No,No,No,No,Yes,No,No,No,,Infrared Analysis,LICOR 6262,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,OA,0,1
OR601,2009 Coastal uwpco2 Cruises,,,West Coast,polyline,National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,http://www.pmel.noaa.gov/co2/story/2009+Coastal+uwpCO2,,Dr. Richard Feely,richard.a.feely@noaa.gov,External funds,NOAA,2009,Not pursuing continued funding,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Cruise,in situ,No,Nearshore; Open Ocean; Deep Sea,,,2,,,continuous,Once,,1,2009,2009,2009,No,,No,No,No,No,No,No,No,Yes,No,No,No,,Infrared Analysis,LICOR 7200,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,OA,0,1
OR602,2010 Coastal uwpco2 Cruises,,,West Coast,polyline,National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,http://www.pmel.noaa.gov/co2/story/2010+Coastal+uwpCO2,,Dr. Richard Feely,richard.a.feely@noaa.gov,External funds,NOAA,2010,Not pursuing continued funding,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Cruise,in situ,No,Nearshore; Open Ocean; Deep Sea,,,2,,,continuous,Once,,1,2010,2010,2010,No,,No,No,No,No,No,No,No,Yes,No,No,No,,Infrared Analysis,LICOR 7200,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,OA,0,1
OR603,2011 Coastal uwpco2 Cruises,,,West Coast,polyline,National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,http://www.pmel.noaa.gov/co2/story/2011+Coastal+uwpCO2,,Dr. Richard Feely,richard.a.feely@noaa.gov,External funds,NOAA,2011,Not pursuing continued funding,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Cruise,in situ,No,Nearshore; Open Ocean; Deep Sea,,,2,,,continuous,Once,,1,2011,2011,2011,No,,No,No,No,No,No,No,No,Yes,No,No,No,,Infrared Analysis,LICOR 7200,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,OA,0,1
OR604,2012 Coastal uwpco2 Cruises,,,West Coast,polyline,National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,http://www.pmel.noaa.gov/co2/story/2012+Coastal+uwpCO2,,Dr. Richard Feely,richard.a.feely@noaa.gov,External funds,NOAA,2012,Not pursuing continued funding,Physical/Biogeochemical,Oceanographic Characterization,,Agency,Cruise,in situ,No,Nearshore; Open Ocean; Deep Sea,,,2,,,continuous,Once,,1,2012,2012,2012,No,,No,No,No,No,No,No,No,Yes,No,No,No,,Infrared Analysis,LICOR 7200,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,OA,0,1
OR16,IPHC fishery-independent setline survey,IPHC fishery-independent setline survey, ,Oregon,polygon,International Pacific Halibut Commission,www.iphc.int,Salish Sea and N. California not sampled every year. Target depths are between 50 and 500 meters.,Lauri Sadorus,lauri@iphc.int,Dedicated Program Funds,IPHC,Indefinite,Funding is continued for the forseeable future,Physical/Biogeochemical & Biological,Oceanographic Characterization,Fisheries Stock Assessment,Agency,Survey Area,Field Survey,No,Nearshore; Open Ocean, , ,,0,500,spot,1/4 second,June-August,9,2009-Present,2009,Present,Yes,Annual,No,No,No,No,No,No,No,No,Yes,No,Yes, ,http://www.iphc.int/publications/techrep/tech0060.pdf,SBE19plus w/SBE43;SBE18;&WETlabs ECO-FLRTD,Yes,Yes,Yes,No,No, ,No,Yes,No,No,No,No,No,Fish,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No, ,OAH,0,1
OR636,Grays Harbor Offshore Glider Line,OOI CE05MOAS, ,Washington,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological, , ,Academic,Glider,in situ,No,Nearshore; Opean Ocean, , , ,0,1000,continuous,60,Year-round, ,2015-Present,2015,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR635,La Push Glider Line,OOI CE05MOAS, ,Washington,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org, ,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological, , ,Academic,Glider,in situ,No,Nearshore; Opean Ocean, , , ,0,1000,continuous,60,Year-round, ,2015-Present,2015,Present,Yes, ,No,No,No,No,No,No,No,No,No,No,Yes, , ,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
CA200,MARINe/PISCO Rocky Intertidal,CER,,Mexico,point,University of California Santa Cruz,http://www.piscoweb.org/access-data,,Pete Raimondi; Rani Gaddam,raimondi@ucsc.edu; gaddam@ucsc.edu,External Funds,"The David and Lucile Packard Foundation, The Gordon and Betty Moore Foundation, and many other sources",,Continued funding is likely from the same source,Biological,,,Academic,Sample Site,Field Survey,Yes,Intertidal,28.886683,-112.0498,0,,,NA,Annual,spring & fall (south of SF); summer (north of SF),14,2003 - present,2003,Present,Yes,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,,No,No,No,No,No,No,No,Shellfish; Seagrass; Kelp; Intertidal Invertebrates; Algae,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,,Non-OAH,0,0
OR471,2016 West Coast OA Cruise,WCOA2016 - 1 - 8,,Mexico,point,National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,https://www.pmel.noaa.gov/co2/story/2016+West+Coast+Ocean+Acidification+Cruise,,Dr. Richard Feely,richard.a.feely@noaa.gov,External funds,NOAA,2016,Not pursuing continued funding,Physical/Biogeochemical & Biological,Oceanographic Characterization,Plankton Distribution,Agency,Cruise Station,Cruise,No,Nearshore; Open Ocean; Deep Sea,26.181,-112.63,,0,67,spot,Once,,1,2016,2016,2016,No,,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,,,,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,No,No,No,Phytoplankton; Zooplankton,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,OAH,4,0
